id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
669432156061425002,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,447375511,Blueground,,Wan Chai,22.2750054,114.1720642,Entire home/apt,2305,30,1,2022-12-19,0.16,50,199,1,
671370960874623879,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,447375511,Blueground,,Wan Chai,22.2750054,114.1720642,Entire home/apt,1678,30,0,,,50,170,0,
671952263471214018,Condo in Hong Kong · 1 bedroom · 1 bed · 1 private bath,198109516,Apple,,Wan Chai,22.2808,114.18486,Private room,350,30,0,,,77,21,0,
672295936079314643,Rental unit in Hong Kong · ★4.90 · 1 bedroom · 1 bed · 1 bath,230300016,George,,Central & Western,22.287270813396805,114.14223318367439,Entire home/apt,500,28,10,2023-04-21,0.98,6,78,10,
672404329951662147,Rental unit in Hong Kong · ★4.46 · 2 bedrooms · 2 beds · 1 private bath,25048995,Moey,,Wan Chai,22.27764,114.18129,Private room,600,5,13,2023-06-15,1.31,24,127,13,
674256294294866702,Home in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,229182760,Aris,,Islands,22.22542,114.11342,Private room,230,1,0,,,1,0,0,
675640309774027291,Villa in Hung Shing Yeh Beach · ★4.86 · 3 bedrooms · 6 beds · 2.5 baths,89343768,Alice,,Islands,22.2187688,114.1196426,Entire home/apt,12143,2,28,2023-05-11,2.86,1,324,28,
678637551021525523,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,447375511,Blueground,,Central & Western,22.2834264,114.1525892,Entire home/apt,1156,30,2,2022-12-21,0.25,50,357,2,
679538605379303032,Condo in Hong Kong · ★4.70 · 2 bedrooms · 2 beds · 1 bath,212964145,Lynn,,Islands,22.27179,113.99683,Entire home/apt,1800,1,23,2023-04-30,2.14,2,74,23,
681577940435343183,Rental unit in Hong Kong · ★4.70 · 1 bedroom · 1 bed · 1 private bath,269051930,Mm,,Yau Tsim Mong,22.29964,114.173253,Private room,620,1,20,2023-05-14,1.95,18,90,20,
685652378020843574,Condo in Hong Kong · ★5.0 · 5 bedrooms · 6 beds · 3 baths,94044350,Jeanie,,Wan Chai,22.27538,114.19288,Entire home/apt,2200,6,13,2023-05-29,1.27,1,58,13,
685666223325002248,Condo in Hong Kong · ★4.82 · 1 bedroom · 1 bed · 1 private bath,269051930,Mm,,Yau Tsim Mong,22.29963994612087,114.17325284332037,Private room,620,1,11,2023-05-06,1.08,18,90,11,
