id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
837573865423456759,Bed and breakfast in Da’an District · 3 bedrooms · 3 beds · 1.5 baths,221089274,Sammi,,大安區,25.0361912,121.5501848,Private room,4000,30,0,,,5,310,0,
837595604546676034,Rental unit in Zhongshan District · ★4.89 · 2 bedrooms · 4 beds · 1.5 baths,453709970,Bella,,中山區,25.065468,121.539812,Entire home/apt,4193,2,9,2023-05-21,2.43,20,71,9,
837645842027118217,Rental unit in Da’an District · ★4.88 · 3 bedrooms · 3 beds · 2 baths,500277849,Gennie,,大安區,25.04368444297523,121.53431798816307,Entire home/apt,5162,2,8,2023-06-25,2.38,16,159,8,
838038119708583540,Rental unit in Da’an District · ★5.0 · 1 bedroom · 2 beds · 1 bath,158945627,Ivory,,大安區,25.042262108576626,121.54139815194426,Entire home/apt,2265,7,3,2023-05-25,0.86,6,245,3,
838149944081256120,Home in Zhongshan District · ★5.0 · 1 bedroom · 1 bed · 1 bath,490134486,Hung Chih,,中山區,25.063248223065557,121.52509155724859,Entire home/apt,3377,30,3,2023-06-15,3,31,177,3,
838342467689295867,Rental unit in Xinyi District · ★4.83 · 3 bedrooms · 4 beds · 2 baths,500277849,Gennie,,信義區,25.04556751972376,121.57437278651207,Entire home/apt,4466,2,12,2023-06-29,3.00,16,146,12,
838854277148623869,Home in Zhongzheng District · 1 bedroom · 1 bed · Shared half-bath,489403010,宥瑩,,中正區,25.030799474483977,121.51785633549332,Private room,500,30,1,2023-05-27,0.86,12,162,1,
839346212011587064,Rental unit in Da’an District · 3 bedrooms · 2 beds · 2 baths,330579461,Toto,,大安區,25.04471,121.533768,Entire home/apt,5162,2,2,2023-04-17,0.56,21,159,2,
839595771049528617,Rental unit in Datong District · ★4.65 · 1 bedroom · 1 bed · 1 bath,136010110,Rex,,大同區,25.05023598336427,121.51282428460597,Entire home/apt,1614,2,20,2023-06-21,6.32,16,28,20,
839732520562468136,Rental unit in Wanhua District · ★4.93 · 1 bedroom · 5 beds · 1 bath,493324130,House,,萬華區,25.044084455088583,121.50592018151066,Entire home/apt,6395,2,14,2023-06-06,3.93,34,77,14,
839764638723572855,Rental unit in Da’an District · 2 bedrooms · 2 beds · 1 bath,379945886,林,,大安區,25.028293982542046,121.52208808996818,Entire home/apt,2286,30,0,,,2,326,0,
840320244041946486,Rental unit in Wanhua District · ★New · 1 bedroom · 2 beds · 1 bath,9681991,Clive,,萬華區,25.04219,121.50609,Entire home/apt,1131,2,0,,,6,66,0,
840320249771974794,Rental unit in Wanhua District · ★New · 1 bedroom · 2 beds · 1 bath,9681991,Clive,,萬華區,25.04078208338741,121.50684513151646,Entire home/apt,1337,2,2,2023-06-23,2,6,73,2,
840328829630100239,Rental unit in Wanhua District · ★4.87 · 2 bedrooms · 2 beds · 1 bath,503930766,Kelly,,萬華區,25.039647,121.5020354,Entire home/apt,3286,2,15,2023-06-24,4.64,1,57,15,
840469656001077751,Rental unit in Wanhua District · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,136010110,Rex,,萬華區,25.043865816298904,121.50431278017616,Entire home/apt,1643,2,16,2023-06-13,5.05,16,59,16,
840742132427076238,Condo in Da’an District · 1 bedroom · 1 bed · 1 bath,246887329,En Chi,,大安區,25.044750772707285,121.54610147517299,Entire home/apt,2278,21,1,2023-06-02,1,3,129,1,
840809946741190398,Home in Zhongzheng District · 1 bedroom · 1 bed · Shared half-bath,489403010,宥瑩,,中正區,25.030986145457028,121.51822329683996,Private room,380,30,1,2023-05-28,0.88,12,295,1,
840955714623233170,Rental unit in Da’an District · ★5.0 · 1 bedroom · 1 bed · 1 private bath,297859409,Jett,,大安區,25.039724095859576,121.54688097205464,Private room,785,10,3,2023-06-03,1.70,3,54,3,
841088257262022540,Rental unit in Datong District · ★5.0 · 2 bedrooms · 3 beds · 1 bath,84591819,Lyon,,大同區,25.05002346261442,121.51831352998252,Entire home/apt,4500,1,11,2023-06-23,3.17,2,180,11,
841113545245406088,Rental unit in Da’an District · ★4.80 · 1 bedroom · 1 bed · 1 private bath,221534550,Anne,,大安區,25.02059471841543,121.53215028300677,Private room,1029,3,5,2023-06-03,1.44,45,65,5,
841117437658886593,Bed and breakfast in Xinyi District · 1 bedroom · 1 bed · 1.5 baths,146254191,Joseph & Elva,,信義區,25.03453421653785,121.56025492398278,Private room,2797,15,0,,,29,365,0,
841568746915315745,Home in Xinyi District · 3 bedrooms · 3 beds · 2 baths,428361363,Lin,,松山區,25.050616658607314,121.57090285651641,Entire home/apt,4143,15,0,,,3,0,0,
841633725869447873,Rental unit in Da’an District · 1 bedroom · 2 beds · 1 bath,29002794,Metrohouse,,大安區,25.031607952663233,121.54310813878828,Entire home/apt,2592,29,1,2023-05-07,0.54,26,75,1,
841653173546983658,Rental unit in Da’an District · 1 bedroom · 1 bed · 1 bath,29002794,Metrohouse,,大安區,25.03297304163557,121.54288596002493,Entire home/apt,2052,29,2,2023-05-22,0.80,26,35,2,
841681412617443944,Rental unit in Xinyi District · 3 bedrooms · 4 beds · 2 baths,330579461,Toto,,信義區,25.046092,121.5755056,Entire home/apt,4409,2,2,2023-04-28,0.59,21,146,2,
841743573732404992,Rental unit in Xinyi District · ★4.38 · 4 bedrooms · 5 beds · 2 baths,485262233,Long,,信義區,25.02753,121.56413,Entire home/apt,4006,3,13,2023-06-26,3.42,19,167,13,
